,,,Sr #,Compliance name,Country,Sr #,Cyber,Risk Category,Risk level,Service,Rule Name#,CyberQ Rule ID,Rule from Scanner,Match,Implemented in AWAF Folder,Added in Rule Set ,Version,Rational,AWS Ref Link,Remediation Link,Compliance Appliable,CIS Control ID,CIS Control Dis,NIST Control ID,NIST  Control Dis,ISO Control ID,ISO Control Dis,CCM v3 Control ID,CCM v3 Control Dis,AWAF Control ID,AWAF Control Dis,PCI DSS v3.2.1
Control id,PCI DSS v3.2.1
Control dis,GDPR Control ID,GDPR Control dis,,Jira Refernce ,Remediation 
,CQ-AWS-ASG-003,,,,,#REF!,CQ-AWS-ASG-023,Network,MEDIUM,AutoScaling,Ensure Auto-Scaling Launch Configuration for Web Tier is configured to use the Web Tier Security Group,CQ-AWS-ASG-023,#REF!,#REF!,TT,P2,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ASG-014,,,,,#REF!,CQ-AWS-ASG-024,Network,MEDIUM,AutoScaling,Ensure Auto-Scaling Launch Configuration for App Tier is configured to use the App Tier Security Group,CQ-AWS-ASG-024,#REF!,#REF!,TT,P2,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ASG-013,,,,,#REF!,CQ-AWS-ASG-025,Network,MEDIUM,AutoScaling,Ensure Web Tier Auto-Scaling Group has an associated Elastic Load Balancer,CQ-AWS-ASG-025,#REF!,#REF!,TT,P2,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ASG-009,,,,,#REF!,CQ-AWS-ASG-026,Network,MEDIUM,AutoScaling,Ensure App Tier Auto-Scaling Group has an associated Elastic Load Balancer,CQ-AWS-ASG-026,#REF!,#REF!,TT,P2,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-CF-002,,,,,#REF!,CQ-AWS-ATH-001,Data,HIGH,Athena,Ensure that AWS Athena query results stored in Amazon S3 are encrypted at rest.,CQ-AWS-ATH-001,#REF!,#REF!,N,P2,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-CF-003,,,,,#REF!,CQ-AWS-BS-001,Data,MEDIUM,Beanstalk,Ensure Enhanced Health Reporting is enabled for your AWS Elastic Beanstalk environment(s).,CQ-AWS-BS-001,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-CF-001,,,,,#REF!,CQ-AWS-BS-002,Data,MEDIUM,Beanstalk,Ensure managed platform updates are enabled for your AWS Elastic Beanstalk environment(s).,CQ-AWS-BS-002,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-CF-007,,,,,#REF!,CQ-AWS-BS-003,Data,MEDIUM,Beanstalk,Ensure persistent logs are enabled for your Amazon Elastic Beanstalk environment(s).,CQ-AWS-BS-003,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-CF-006,,,,,#REF!,CQ-AWS-CF-001,Data,MEDIUM,CloudFormation,Ensure a deletion policy is used for your Amazon CloudFormation stacks.,CQ-AWS-CF-001,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-CF-005,,,,,#REF!,CQ-AWS-CF-002,Data,MEDIUM,CloudFormation,Ensure that Amazon CloudFormation stacks have not been drifted.,CQ-AWS-CF-002,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-CF-004,,,,,#REF!,CQ-AWS-CF-003,Data,LOW,CloudFormation,Ensure CloudFormation service is in use for defining your cloud architectures on Amazon Web Services,CQ-AWS-CF-003,#REF!,#REF!,Manual,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-CF-008,,,,,#REF!,CQ-AWS-CF-003,Data,MEDIUM,CloudFormation,Ensure CloudFormation service is in use for defining your cloud architectures on Amazon Web Services,CQ-AWS-CF-003,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-CFT-013,,,,,#REF!,CQ-AWS-CF-004,Data, User,MEDIUM,CloudFormation,Ensure AWS CloudFormation stacks are not in Failed mode for more than 6 hours,CQ-AWS-CF-004,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-CFT-008,,,,,#REF!,CQ-AWS-CF-005,Data,MEDIUM,CloudFormation,Ensure CloudFormation stack policies are set to prevent accidental updates to stack resources.,CQ-AWS-CF-005,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-CFT-001,,,,,#REF!,CQ-AWS-CF-006,User,MEDIUM,CloudFormation,Ensure that the IAM role associated with your AWS CloudFormation stack grants least privilege.,CQ-AWS-CF-006,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-CFT-011,,,,,#REF!,CQ-AWS-CF-007,Data,MEDIUM,CloudFormation,Ensure your AWS CloudFormation stacks are integrated with Simple Notification Service (SNS).,CQ-AWS-CF-007,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-CFT-012,,,,,#REF!,CQ-AWS-CF-008,Data,MEDIUM,CloudFormation,Ensure Termination Protection feature is enabled for your AWS CloudFormation stacks.,CQ-AWS-CF-008,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-CFT-002,,,,,#REF!,CQ-AWS-CFT-001,Network,LOW,Cloudfront,Ensure that AWS Cloudfront web distributions are configured to compress objects (files) automatically.,CQ-AWS-CFT-001,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-CFT-003,,,,,#REF!,CQ-AWS-CFT-002,Network,LOW,Cloudfront,Ensure geo restriction is enabled within CloudFront distribution.,CQ-AWS-CFT-002,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-CFT-004,,,,,#REF!,CQ-AWS-CFT-003,Network,MEDIUM,Cloudfront,Ensure AWS CloudFront CDN service is in use for fast and secure web content delivery.,CQ-AWS-CFT-003,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-CFT-005,,,,,#REF!,CQ-AWS-CFT-004,Network,MEDIUM,Cloudfront,Ensure AWS CloudFront distributions origin(s) do not use insecure SSL protocols.,CQ-AWS-CFT-004,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-CFT-006,,,,,#REF!,CQ-AWS-CFT-005,Network,MEDIUM,Cloudfront,Ensure your Cloudfront CDN distributions are integrated with AWS WAF.,CQ-AWS-CFT-005,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-CFT-007,,,,,#REF!,CQ-AWS-CFT-006,Network,MEDIUM,Cloudfront,Ensure AWS Cloudfront CDN distributions have access logging enabled.,CQ-AWS-CFT-006,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-CFT-009,,,,,#REF!,CQ-AWS-CFT-007,Network,MEDIUM,Cloudfront,Ensure AWS CloudFront distributions are using improved security policies for HTTPS connections.,CQ-AWS-CFT-007,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-CFT-010,,,,,#REF!,CQ-AWS-CFT-008,Network,MEDIUM,Cloudfront,Ensure the traffic between the AWS CloudFront distributions and their origins is encrypted.,CQ-AWS-CFT-008,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-CLT-010,,,,,#REF!,CQ-AWS-CFT-009,Network,MEDIUM,Cloudfront,Configure HTTP to HTTPS redirects for your CloudFront distribution viewer protocol policy.,CQ-AWS-CFT-009,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-CLT-012,,,,,#REF!,CQ-AWS-CFT-010,User,MEDIUM,Cloudfront,Ensure your AWS Cloudfront distributions are using an origin access identity for their origin S3 buckets.,CQ-AWS-CFT-010,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-CLT-002,,,,,#REF!,CQ-AWS-CFT-011,Network,MEDIUM,Cloudfront,Ensure that AWS CloudFront distributions are using Origin Failover feature to optimize their high availability.,CQ-AWS-CFT-011,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-CLT-003,,,,,#REF!,CQ-AWS-CFT-012,Network,MEDIUM,Cloudfront,Ensure that Amazon CloudFront web distributions enforce field-level encryption.,CQ-AWS-CFT-012,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-CLT-004,,,,,#REF!,CQ-AWS-CFT-013,Network,MEDIUM,Cloudfront,Use AWS Cloudfront Content Distribution Network for secure web content delivery.,CQ-AWS-CFT-013,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-CLT-005,,,,,#REF!,CQ-AWS-CFT-014,Network,HIGH,Cloudfront,Ensure all CloudFront Distributions require HTTPS between CloudFront and your Web-Tier ELB origin,CQ-AWS-CFT-014,#REF!,#REF!,TT,P2,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-CLT-006,,,,,#REF!,CQ-AWS-CFT-015,Network,HIGH,Cloudfront,Use CloudFront Content Distribution Network,CQ-AWS-CFT-015,#REF!,#REF!,Manual,P2,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-CLT-007,,,,,#REF!,CQ-AWS-CLT-001,Data,HIGH,Cloudtrail,Global Service Logging Duplicated,CQ-AWS-CLT-001,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-CLT-015,,,,,#REF!,CQ-AWS-CLT-002,Data,MEDIUM,Cloudtrail,Ensure CloudTrail event monitoring with CloudWatch is enabled.,CQ-AWS-CLT-002,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-CLT-009,,,,,#REF!,CQ-AWS-CLT-003,Data,HIGH,Cloudtrail,Ensure Cloudtrail trails are configured to log Data events,CQ-AWS-CLT-003,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-CLT-017,,,,,#REF!,CQ-AWS-CLT-004,Data,MEDIUM,Cloudtrail,Ensure your AWS CloudTrail logs are encrypted using AWS KMS?Managed Keys (SSE-KMS).,CQ-AWS-CLT-004,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-CLT-018,,,,,#REF!,CQ-AWS-CLT-005,Data,HIGH,Cloudtrail,Global Service Logging Disabled,CQ-AWS-CLT-005,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-CWT-001,,,,,#REF!,CQ-AWS-CLT-006,Data,MEDIUM,Cloudtrail,Ensure your AWS CloudTrail trails have log file integrity validation enabled.,CQ-AWS-CLT-006,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-CWT-017,,,,,#REF!,CQ-AWS-CLT-007,Data,HIGH,Cloudtrail,Ensure AWS CloudTrail trails are enabled for all AWS regions.,CQ-AWS-CLT-007,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-CWT-016,,,,,#REF!,CQ-AWS-CLT-009,Data,HIGH,Cloudtrail,Ensure AWS CloudTrail logging bucket has MFA Delete feature enabled.,CQ-AWS-CLT-009,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-DYD-003,,,,,#REF!,CQ-AWS-CLT-010,Data,HIGH,Cloudtrail,Ensure CloudTrail trail logging buckets are not publicly accessible.,CQ-AWS-CLT-010,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-DYD-004,,,,,#REF!,CQ-AWS-CLT-012,Data,MEDIUM,Cloudtrail,Ensure Amazon CloudTrail trail log files are delivered as expected.,CQ-AWS-CLT-012,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-DYD-001,,,,,#REF!,CQ-AWS-CLT-015,Data,MEDIUM,Cloudtrail,Ensure management events are included into AWS CloudTrail trails configuration.,CQ-AWS-CLT-015,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-DYD-006,,,,,#REF!,CQ-AWS-CLT-016,Data,MEDIUM,Cloudtrail,Ensure that AWS CloudTrail trail uses the designated Amazon S3 bucket.,CQ-AWS-CLT-016,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-DYD-005,,,,,#REF!,CQ-AWS-CLT-017,Data,MEDIUM,Cloudtrail,Ensure AWS CloudTrail buckets have server access logging enabled.,CQ-AWS-CLT-017,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-008,,,,,#REF!,CQ-AWS-CLT-018,Data,MEDIUM,Cloudtrail,Ensure that AWS CloudTrail S3 buckets use Object Lock for data protection and regulatory compliance.,CQ-AWS-CLT-018,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-007,,,,,#REF!,CQ-AWS-CLT-019,Data,HIGH,Cloudwatch,Ensure your AWS costs are being monitored using a CloudWatch billing alarm.,CQ-AWS-CLT-019,#REF!,#REF!,Cost,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-001,,,,,#REF!,CQ-AWS-CON-001,Data, User,HIGH,Config,Ensure AWS Config is enabled in all regions to get the optimal visibility of the activity on your account.,CQ-AWS-CON-001,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-052,,,,,#REF!,CQ-AWS-CON-003,Data,MEDIUM,Config,Ensure Global resources are included into Amazon Config service configuration.,CQ-AWS-CON-003,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-002,,,,,#REF!,CQ-AWS-CON-004,Data,HIGH,Config,Ensure AWS Config service is using an active S3 bucket to store configuration changes files.,CQ-AWS-CON-004,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-003,,,,,#REF!,CQ-AWS-CON-005,Data,MEDIUM,Config,Ensure Amazon Config log files are delivered as expected.,CQ-AWS-CON-005,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-004,,,,,#REF!,CQ-AWS-CON-006,Data,MEDIUM,Config,Ensure that all evaluation results returned for your AWS Config rules are compliant.,CQ-AWS-CON-006,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-005,,,,,#REF!,CQ-AWS-CON-007,Data,HIGH,Config,Ensure an AWS Managed Config Rule for encrypted volumes is applied to Web Tier,CQ-AWS-CON-007,#REF!,#REF!,TT,P2,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-042,,,,,#REF!,CQ-AWS-CON-008,Data,HIGH,Config,Ensure an AWS Managed Config Rule for encrypted volumes is applied to App Tier,CQ-AWS-CON-008,#REF!,#REF!,TT,P2,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-006,,,,,#REF!,CQ-AWS-CON-009,Network,HIGH,Config,Ensure an AWS Managed Config Rule for EIPs attached to EC2 instances within VPC,CQ-AWS-CON-009,#REF!,#REF!,N,P2,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-045,,,,,#REF!,CQ-AWS-CWT-001,Data,MEDIUM,Cloudwatch,Ensure there is an action associated with a Cloudwatch Alarm,CQ-AWS-CWT-001,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-044,,,,,#REF!,CQ-AWS-CWT-002,Data,MEDIUM,Cloudwatch,Ensure a log metric filter and alarm exist for AWS Config configuration changes,CQ-AWS-CWT-002,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-030,,,,,#REF!,CQ-AWS-CWT-003,Data,HIGH,Cloudwatch,Ensure a log metric filter and alarm exist for CloudTrail configuration changes,CQ-AWS-CWT-003,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-009,,,,,#REF!,CQ-AWS-CWT-004,Data,HIGH,Cloudwatch,Ensure a log metric filter and alarm exist for disabling or scheduled deletion of customer created CMKs,CQ-AWS-CWT-004,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-028,,,,,#REF!,CQ-AWS-CWT-005,User,MEDIUM,Cloudwatch,Ensure your AWS Console authentication process is being monitored using CloudWatch alarms.,CQ-AWS-CWT-005,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-051,,,,,#REF!,CQ-AWS-CWT-006,User,HIGH,Cloudwatch,Ensure AWS IAM policy configuration changes are being monitored using CloudWatch alarms.,CQ-AWS-CWT-006,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-022,,,,,#REF!,CQ-AWS-CWT-007,Network,MEDIUM,Cloudwatch,Ensure AWS Network ACLs configuration changes are being monitored using CloudWatch alarms.,CQ-AWS-CWT-007,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
